"10826: Population, by region, age, contents and year"

"region";"age";"Persons 2022"
"030102 Uranienborg -Majorstuen (1988-2003)";"11 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"12 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"13 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"14 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"15 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"16 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"17 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"18 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"19 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"20 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"21 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"22 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"23 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"24 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"25 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"26 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"27 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"28 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"29 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"30 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"31 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"32 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"33 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"34 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"35 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"36 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"37 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"38 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"39 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"40 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"41 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"42 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"43 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"44 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"45 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"46 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"47 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"48 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"49 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"50 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"51 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"52 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"53 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"54 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"55 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"56 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"57 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"58 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"59 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"60 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"61 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"62 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"63 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"64 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"65 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"66 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"67 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"68 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"69 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"70 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"71 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"72 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"73 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"74 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"75 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"76 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"77 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"78 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"79 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"80 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"81 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"82 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"83 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"84 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"85 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"86 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"87 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"88 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"89 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"90 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"91 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"92 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"93 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"94 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"95 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"96 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"97 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"98 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"99 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"100 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"101 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"102 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"103 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"104 years";0
"030102 Uranienborg -Majorstuen (1988-2003)";"105 years or older";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"0 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"1 year";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"2 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"3 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"4 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"5 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"6 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"7 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"8 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"9 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"10 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"11 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"12 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"13 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"14 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"15 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"16 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"17 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"18 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"19 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"20 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"21 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"22 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"23 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"24 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"25 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"26 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"27 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"28 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"29 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"30 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"31 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"32 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"33 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"34 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"35 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"36 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"37 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"38 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"39 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"40 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"41 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"42 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"43 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"44 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"45 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"46 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"47 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"48 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"49 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"50 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"51 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"52 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"53 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"54 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"55 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"56 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"57 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"58 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"59 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"60 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"61 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"62 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"63 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"64 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"65 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"66 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"67 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"68 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"69 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"70 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"71 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"72 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"73 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"74 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"75 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"76 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"77 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"78 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"79 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"80 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"81 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"82 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"83 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"84 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"85 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"86 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"87 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"88 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"89 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"90 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"91 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"92 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"93 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"94 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"95 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"96 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"97 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"98 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"99 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"100 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"101 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"102 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"103 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"104 years";0
"030103 St.Hanshaugen-Ullevål (1988-2003)";"105 years or older";0
"030104 Sagene-Torshov (1988-2003)";"0 years";0
"030104 Sagene-Torshov (1988-2003)";"1 year";0
"030104 Sagene-Torshov (1988-2003)";"2 years";0
"030104 Sagene-Torshov (1988-2003)";"3 years";0
"030104 Sagene-Torshov (1988-2003)";"4 years";0
"030104 Sagene-Torshov (1988-2003)";"5 years";0
"030104 Sagene-Torshov (1988-2003)";"6 years";0
"030104 Sagene-Torshov (1988-2003)";"7 years";0
"030104 Sagene-Torshov (1988-2003)";"8 years";0
"030104 Sagene-Torshov (1988-2003)";"9 years";0
"030104 Sagene-Torshov (1988-2003)";"10 years";0
"030104 Sagene-Torshov (1988-2003)";"11 years";0
"030104 Sagene-Torshov (1988-2003)";"12 years";0
"030104 Sagene-Torshov (1988-2003)";"13 years";0
"030104 Sagene-Torshov (1988-2003)";"14 years";0
"030104 Sagene-Torshov (1988-2003)";"15 years";0
"030104 Sagene-Torshov (1988-2003)";"16 years";0
"030104 Sagene-Torshov (1988-2003)";"17 years";0
"030104 Sagene-Torshov (1988-2003)";"18 years";0
"030104 Sagene-Torshov (1988-2003)";"19 years";0
"030104 Sagene-Torshov (1988-2003)";"20 years";0
"030104 Sagene-Torshov (1988-2003)";"21 years";0
"030104 Sagene-Torshov (1988-2003)";"22 years";0
"030104 Sagene-Torshov (1988-2003)";"23 years";0
"030104 Sagene-Torshov (1988-2003)";"24 years";0
"030104 Sagene-Torshov (1988-2003)";"25 years";0
"030104 Sagene-Torshov (1988-2003)";"26 years";0
"030104 Sagene-Torshov (1988-2003)";"27 years";0
"030104 Sagene-Torshov (1988-2003)";"28 years";0
"030104 Sagene-Torshov (1988-2003)";"29 years";0
"030104 Sagene-Torshov (1988-2003)";"30 years";0
"030104 Sagene-Torshov (1988-2003)";"31 years";0
"030104 Sagene-Torshov (1988-2003)";"32 years";0
"030104 Sagene-Torshov (1988-2003)";"33 years";0
"030104 Sagene-Torshov (1988-2003)";"34 years";0
"030104 Sagene-Torshov (1988-2003)";"35 years";0
"030104 Sagene-Torshov (1988-2003)";"36 years";0
"030104 Sagene-Torshov (1988-2003)";"37 years";0
"030104 Sagene-Torshov (1988-2003)";"38 years";0
"030104 Sagene-Torshov (1988-2003)";"39 years";0
"030104 Sagene-Torshov (1988-2003)";"40 years";0
"030104 Sagene-Torshov (1988-2003)";"41 years";0
"030104 Sagene-Torshov (1988-2003)";"42 years";0
"030104 Sagene-Torshov (1988-2003)";"43 years";0
"030104 Sagene-Torshov (1988-2003)";"44 years";0
"030104 Sagene-Torshov (1988-2003)";"45 years";0
"030104 Sagene-Torshov (1988-2003)";"46 years";0
"030104 Sagene-Torshov (1988-2003)";"47 years";0
"030104 Sagene-Torshov (1988-2003)";"48 years";0
"030104 Sagene-Torshov (1988-2003)";"49 years";0
"030104 Sagene-Torshov (1988-2003)";"50 years";0
"030104 Sagene-Torshov (1988-2003)";"51 years";0
"030104 Sagene-Torshov (1988-2003)";"52 years";0
"030104 Sagene-Torshov (1988-2003)";"53 years";0
"030104 Sagene-Torshov (1988-2003)";"54 years";0
"030104 Sagene-Torshov (1988-2003)";"55 years";0
"030104 Sagene-Torshov (1988-2003)";"56 years";0
"030104 Sagene-Torshov (1988-2003)";"57 years";0
"030104 Sagene-Torshov (1988-2003)";"58 years";0
"030104 Sagene-Torshov (1988-2003)";"59 years";0
"030104 Sagene-Torshov (1988-2003)";"60 years";0
"030104 Sagene-Torshov (1988-2003)";"61 years";0
"030104 Sagene-Torshov (1988-2003)";"62 years";0
"030104 Sagene-Torshov (1988-2003)";"63 years";0
"030104 Sagene-Torshov (1988-2003)";"64 years";0
"030104 Sagene-Torshov (1988-2003)";"65 years";0
"030104 Sagene-Torshov (1988-2003)";"66 years";0
"030104 Sagene-Torshov (1988-2003)";"67 years";0
"030104 Sagene-Torshov (1988-2003)";"68 years";0
"030104 Sagene-Torshov (1988-2003)";"69 years";0
"030104 Sagene-Torshov (1988-2003)";"70 years";0
"030104 Sagene-Torshov (1988-2003)";"71 years";0
"030104 Sagene-Torshov (1988-2003)";"72 years";0
"030104 Sagene-Torshov (1988-2003)";"73 years";0
"030104 Sagene-Torshov (1988-2003)";"74 years";0
"030104 Sagene-Torshov (1988-2003)";"75 years";0
"030104 Sagene-Torshov (1988-2003)";"76 years";0
"030104 Sagene-Torshov (1988-2003)";"77 years";0
"030104 Sagene-Torshov (1988-2003)";"78 years";0
"030104 Sagene-Torshov (1988-2003)";"79 years";0
"030104 Sagene-Torshov (1988-2003)";"80 years";0
"030104 Sagene-Torshov (1988-2003)";"81 years";0
"030104 Sagene-Torshov (1988-2003)";"82 years";0
"030104 Sagene-Torshov (1988-2003)";"83 years";0
"030104 Sagene-Torshov (1988-2003)";"84 years";0
"030104 Sagene-Torshov (1988-2003)";"85 years";0
"030104 Sagene-Torshov (1988-2003)";"86 years";0
"030104 Sagene-Torshov (1988-2003)";"87 years";0
"030104 Sagene-Torshov (1988-2003)";"88 years";0
"030104 Sagene-Torshov (1988-2003)";"89 years";0
"030104 Sagene-Torshov (1988-2003)";"90 years";0
"030104 Sagene-Torshov (1988-2003)";"91 years";0
"030104 Sagene-Torshov (1988-2003)";"92 years";0
"030104 Sagene-Torshov (1988-2003)";"93 years";0
"030104 Sagene-Torshov (1988-2003)";"94 years";0
"030104 Sagene-Torshov (1988-2003)";"95 years";0
"030104 Sagene-Torshov (1988-2003)";"96 years";0
"030104 Sagene-Torshov (1988-2003)";"97 years";0
"030104 Sagene-Torshov (1988-2003)";"98 years";0
"030104 Sagene-Torshov (1988-2003)";"99 years";0
"030104 Sagene-Torshov (1988-2003)";"100 years";0
"030104 Sagene-Torshov (1988-2003)";"101 years";0
"030104 Sagene-Torshov (1988-2003)";"102 years";0
"030104 Sagene-Torshov (1988-2003)";"103 years";0
"030104 Sagene-Torshov (1988-2003)";"104 years";0
"030104 Sagene-Torshov (1988-2003)";"105 years or older";0
"030105 Grünerløkka-Sofienberg (1988-2003)";"0 years";0
"030105 Grünerløkka-Sofienberg (1988-2003)";"1 year";0
"030105 Grünerløkka-Sofienberg (1988-2003)";"2 years";0
"030105 Grünerløkka-Sofienberg (1988-2003)";"3 years";0
"030105 Grünerløkka-Sofienberg (1988-2003)";"4 years";0
"030105 Grünerløkka-Sofienberg (1988-2003)";"5 years";0
"030105 Grünerløkka-Sofienberg (1988-2003)";"6 years";0
"030105 Grünerløkka-Sofienberg (1988-2003)";"7 years";0
"030105 Grünerløkka-Sofienberg (1988-2003)";"8 years";0
